,State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_to_2_persons,Household_size_3_to_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_and_above,Sex Ratio
345,Orissa,Nuapada,20.471309512195116,82.59152536585364,610382,301962,308420,299383,180903,118480,82159,40742,41417,206327,100469,105858,305438,168155,137283,601092,4952,1778,724,76,905,22,833,6414,43976,757,4221,197258,11869,209127,64389,114394,73787,51886,19577,10131,4316,338480,316086,654566,344075,152681,112325,1301,152129,3851,33755,94057,29939,2196,1021.0
346,Orissa,Puri,19.83509174603177,85.86698989898981,1698730,865380,833350,1291939,704857,587082,325133,164366,160767,6129,3240,2889,621676,498461,123215,1644905,46094,4239,193,243,94,302,2660,33331,201605,3416,16006,402014,72210,474224,251520,413605,364098,179086,84374,87000,15511,1395194,309790,1704984,888134,477430,328666,4500,343935,17603,38807,231885,81794,16996,963.0
347,Orissa,Rayagada,19.292840020060204,83.45860120361095,967911,471960,495951,407735,241959,165776,139514,68068,71446,541905,259040,282865,467122,258032,209090,874445,4607,84916,219,249,123,44,3308,24924,61543,1553,9166,237343,49205,286548,84956,97387,73210,46001,21439,17681,6306,346980,583140,930120,577569,245766,140825,3751,201492,17683,45359,124357,50421,5827,1051.0
348,Orissa,Sambalpur,21.515752380952385,84.34958483245157,1041099,526877,514222,703691,393192,310499,191827,96511,95316,355261,177565,177696,505840,313161,192679,964188,20120,50637,2506,310,86,1117,2135,33612,126498,5231,14521,220697,94798,315495,133005,185289,171876,108455,50705,45828,13071,708229,282248,990477,565700,286575,186726,2098,212516,27844,45534,152584,45780,4931,976.0
349,Orissa,Sundargarh,22.06354819277107,84.50524819277099,2093437,1061147,1032290,1342322,750147,592175,191660,96465,95195,1062349,526856,535493,873227,584687,288540,1532352,71391,385011,5713,710,721,89986,7553,77581,223537,12787,35024,387911,230151,618062,208100,350349,335380,243386,120373,94710,36590,1388888,660465,2049353,1188918,573238,324436,6845,356607,73640,77393,278223,102594,15083,973.0
350,Puducherry,Karaikal,10.876161726078813,79.82369793621002,200222,97809,102413,154916,79903,75013,35348,17206,18142,0,0,0,68301,53139,15162,152638,28835,18391,46,63,54,14,181,28366,47880,1868,4870,35618,33715,69333,18943,32899,33458,29456,15930,18998,4877,154561,32717,187278,102333,60089,37434,366,33788,12831,8722,33606,6876,864,1047.0
351,Puducherry,Mahe,12.006420793787758,75.28275021570326,41816,19143,22673,36470,16610,19860,144,77,67,0,0,0,11802,9093,2709,27940,12856,958,3,21,14,3,21,3632,7150,574,1484,0,12110,12110,2948,6043,7930,8773,5711,4475,978,36858,2993,39851,19760,12543,9428,85,6569,494,587,3559,1709,1342,1184.0
352,Puducherry,Yanam,16.707695652173904,82.26187304347832,55626,27301,28325,39274,19919,19355,8427,4100,4327,0,0,0,16760,14047,2713,53537,1191,873,3,1,4,4,13,10399,12859,207,597,0,15519,15519,3804,10954,8806,8044,4101,3836,1315,40860,14923,55783,31973,15235,8402,16,6947,5816,1879,9821,1521,87,1038.0
353,Punjab,Amritsar,31.548679820627772,74.79883856502238,2490656,1318408,1172248,1684770,932981,751789,770864,405977,364887,0,0,0,917856,735195,182661,690939,12502,54344,1716935,876,3152,1044,10864,279993,461231,29961,63864,275477,385476,660953,197944,313874,283819,328229,203656,142399,15879,1485800,540010,2025810,1384987,667193,436496,1980,430041,41576,36730,276797,138044,28732,889.0
354,Punjab,Bathinda,30.190524611973352,75.05685898004438,1388525,743197,645328,844868,488261,356607,450473,236936,213537,0,0,0,549986,432988,116998,380569,16299,2474,984286,246,1266,559,2826,118427,255650,11284,32253,218159,137563,355722,117795,182796,145626,163928,96329,70240,16666,793380,438529,1231909,754927,377707,255283,608,235988,21224,22061,152743,73819,17412,868.0
